epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
jm_43,2025-05-14,2025 Jeopardy! Masters knockout round game 5.,Jeopardy,"(1, 1)",THE CIVIL WAR,22,"(200,)",False,"After April 12, 1861 this structure on an artificial island at the entrance to Charleston Harbor got famous fast",Fort Sumter,0,0
jm_43,2025-05-14,2025 Jeopardy! Masters knockout round game 5.,Jeopardy,"(2, 1)",SWAN DIVING,21,"(200,)",False,"In mythology, this queen of Sparta was the offspring of Zeus, who seduced Leda in the guise of a swan",Helen of Troy,0,0
jm_43,2025-05-14,2025 Jeopardy! Masters knockout round game 5.,Jeopardy,"(3, 1)",IDIOMS FROM THE BIBLE,25,"(200,)",False,"Typical, just typical--remember this idiom from Jeremiah 13 about a certain unalterable feline",a leopard can't change its spots,0,0
jm_43,2025-05-14,2025 Jeopardy! Masters knockout round game 5.,Jeopardy,"(4, 1)",A PHOTOGRAPHIC MEMORY,27,"(200,)",False,"Not the wall itself, but this landmark provided the background as Reagan asked Gorbachev to ""tear down that wall""",Brandenburg Gate,0,0
jm_43,2025-05-14,2025 Jeopardy! Masters knockout round game 5.,Jeopardy,"(5, 1)",ORGANIZATIONS,29,"(200,)",False,In 1948 this organization awarded a grant to 3 biologists to develop a birth control pill,Planned Parenthood,0,0
jm_43,2025-05-14,2025 Jeopardy! Masters knockout round game 5.,Jeopardy,"(6, 1)",SOME SERIOUS SPORTS TALK,30,"(200,)",False,"In a career spanning 6 decades, sportscasting legend Al Michaels is best known for these 5 words from February 22, 1980",Do you believe in miracles?,0,0
jm_43,2025-05-14,2025 Jeopardy! Masters knockout round game 5.,Jeopardy,"(1, 2)",THE CIVIL WAR,8,"(400,)",False,"The leading industrialized city of the South, it became the capital of the Confederacy in May 1861",Richmond,0,0
jm_43,2025-05-14,2025 Jeopardy! Masters knockout round game 5.,Jeopardy,"(2, 2)",SWAN DIVING,16,"(400,)",False,Louis ain't a talker but gets a horn to honk some game at Serena in this classic book,The Trumpet of the Swan (by E.B. White),0,0
jm_43,2025-05-14,2025 Jeopardy! Masters knockout round game 5.,Jeopardy,"(3, 2)",IDIOMS FROM THE BIBLE,26,"(400,)",False,"Seeming anatomically inaccurate, this idiom about a narrow escape is in Job 19",by the skin of one's teeth,0,0
jm_43,2025-05-14,2025 Jeopardy! Masters knockout round game 5.,Jeopardy,"(4, 2)",A PHOTOGRAPHIC MEMORY,11,"(400,)",False,"The AKC recognizes 6 breeds of these, including the Redbone; they're specialists in treeing their prey",coonhound,0,0
