epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
ncc_1,2022-02-08,"2022 National College Championship quarterfinal game 1.
Mayim Bialik hosts.",Jeopardy,"(1, 1)",BIO 101,27,"(200,)",False,"Robert K. Massie drew a ""Portrait of"" this Russian empress who led 14,000 soldiers in overthrowing her husband",Catherine the Great,0,0
ncc_1,2022-02-08,"2022 National College Championship quarterfinal game 1.
Mayim Bialik hosts.",Jeopardy,"(2, 1)",PARTS OF THE FRANCHISE,30,"(200,)",False,"A Broadway musical & the TV series ""Timon & Pumbaa""",The Lion King,0,0
ncc_1,2022-02-08,"2022 National College Championship quarterfinal game 1.
Mayim Bialik hosts.",Jeopardy,"(3, 1)",BIBLE BOOKS,28,"(200,)",False,"This word for the 4 books that recount Jesus' life is from Old English for ""good tidings""",the Gospels,0,0
ncc_1,2022-02-08,"2022 National College Championship quarterfinal game 1.
Mayim Bialik hosts.",Jeopardy,"(4, 1)",GET A JOB!,29,"(200,)",False,"It can be a desk employee at a hotel, or a legal aide to a judge",a clerk,0,0
ncc_1,2022-02-08,"2022 National College Championship quarterfinal game 1.
Mayim Bialik hosts.",Jeopardy,"(5, 1)",THAT'S QUITE A DORM ROOM,26,"(200,)",False,"A full chef's kitchen seems a bit of a waste when you keep ordering this chain's specialty pizzas, like Extravaganzza",Domino's Pizza,0,0
ncc_1,2022-02-08,"2022 National College Championship quarterfinal game 1.
Mayim Bialik hosts.",Jeopardy,"(6, 1)",THESE WORDS ARE YOUNGER THAN YOU ARE,25,"(200,)",False,This type of camping for the pampered dates to 2005,glamping,0,0
ncc_1,2022-02-08,"2022 National College Championship quarterfinal game 1.
Mayim Bialik hosts.",Jeopardy,"(1, 2)",BIO 101,20,"(400,)",False,"He ""peppered Wozniak with questions: could the computer ever be networked?  Was it possible to add a disk for memory storage?""",Steve Jobs,0,0
ncc_1,2022-02-08,"2022 National College Championship quarterfinal game 1.
Mayim Bialik hosts.",Jeopardy,"(2, 2)",PARTS OF THE FRANCHISE,24,"(400,)",False,"The video game ""Vice City""",Grand Theft Auto,0,0
ncc_1,2022-02-08,"2022 National College Championship quarterfinal game 1.
Mayim Bialik hosts.",Jeopardy,"(3, 2)",BIBLE BOOKS,12,"(400,)",False,"The Jewish scriptures are traditionally divided into the Prophets, the Writings & this word meaning ""law""",the Torah,0,0
ncc_1,2022-02-08,"2022 National College Championship quarterfinal game 1.
Mayim Bialik hosts.",Jeopardy,"(4, 2)",GET A JOB!,23,"(400,)",False,"Referring to a type popular in earlier centuries, a peruker was a maker of these",wigs,0,0
