epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(1, 1)",FATHERLY NICKNAMES,1,"(100,)",False,"""The Father of Relativity""",Albert Einstein,1,0
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(2, 1)","""IQ"" TEST",16,"(100,)",False,"The 3 normal states of matter are solid, gas & this",liquid,1,0
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(3, 1)",WOLVES,21,"(100,)",False,He's the senior White House correspondent seen here,Wolf Blitzer,1,1
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(4, 1)",NAME THE DIRECTOR,23,"(100,)",False,"""Always"",""E.T."",""Jurassic Park""",Steven Spielberg,1,0
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(5, 1)",MINTY FRESH,11,"(100,)",False,"White Mazda Miatas bear an uncanny resemblance to these ""1 1/2 Calorie Breath Mints""",Tic-Tac,1,1
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(6, 1)","KISS ME, YOU FOOL!",6,"(100,)",False,"In Charles Perrault's version of this classic fairy tale, a prince awakens a princess with a tender kiss","""Sleeping Beauty""",1,0
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(1, 2)",FATHERLY NICKNAMES,2,"(200,)",False,"""The Father of the Constitution""",James Madison,1,1
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(2, 2)","""IQ"" TEST",17,"(200,)",False,It's the set of rules for behaving properly in society; Miss Manners is an expert on this subject,etiquette,1,0
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(3, 2)",WOLVES,27,"(200,)",False,"Most of these wolf groups have about 8 members, but may have as many as 20",packs,1,0
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(4, 2)",NAME THE DIRECTOR,22,"(200,)",False,"""Get on the Bus"",""Malcolm X"",""He Got Game""",Spike Lee,1,0
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(5, 2)",MINTY FRESH,12,"(200,)",False,Pep‑O‑Mint & Wint‑O‑Green are flavors of this candy mint,Life Savers,1,1
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(6, 2)","KISS ME, YOU FOOL!",7,"(200,)",False,"In Genesis 2:7, he infuses the ""Spirit of Life"" into man with a kiss",God,1,0
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(1, 3)",FATHERLY NICKNAMES,3,"(300,)",False,"""The Father of the Thesaurus""",Peter Mark Roget,0,3
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(2, 3)","""IQ"" TEST",18,"(300,)",False,It's a device such as a bandage twisted around a limb to control the flow of blood,a tourniquet,1,0
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(3, 3)",WOLVES,28,"(300,)",False,"Later dancing with Oscars, this actor is given the name ""Dances With Wolves"" in the movie of the same name",Kevin Costner,1,0
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(4, 3)",NAME THE DIRECTOR,24,"(300,)",False,"""JFK',""Talk Radio"",""Born on the Fourth of July""",Oliver Stone,1,0
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(5, 3)",MINTY FRESH,13,"(300,)",False,"This Certs ingredient is a mix of partially hydrogenated cottonseed oil, copper gluconate & flavoring",Retsyn,1,0
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(6, 3)","KISS ME, YOU FOOL!",8,"(300,)",False,A girl who remains unkissed under this Christmas plant shouldn't expect marriage in the next year,mistletoe,1,0
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(1, 4)",FATHERLY NICKNAMES,4,"(400,)",False,"""The Father of the Steamboat""",Robert Fulton,1,1
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(2, 4)","""IQ"" TEST",19,"(400,)",False,"It means highly unusual, extraordinary, one of a kind",unique,1,0
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(3, 4)",WOLVES,29,"(400,)",True,This U.S. state has more wolves than any other,Alaska,0,1
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(4, 4)",NAME THE DIRECTOR,25,"(400,)",False,"""Ed Wood"",""Batman"",""Beetlejuice""",Tim Burton,1,0
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(5, 4)",MINTY FRESH,14,"(400,)",False,"These ""Curiously Strong"" mints are ""So Strong, They Come in a Metal Box""",Altoids,1,0
3336,1999-02-22,1999-A Teen Tournament quarterfinal game 1.,Jeopardy,"(6, 4)","KISS ME, YOU FOOL!",9,"(400,)",False,"Surprisingly, Tony Curtis said kissing this blond actress in ""Some Like It Hot"" was ""like kissing Hitler""",Marilyn Monroe,1,0
