epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
4222,2002-12-31,(Cheryl: We're at Westminster Abbey; stay tuned to find out more on Jeopardy!),Jeopardy,"(1, 1)","""P""-RUSSIA",1,"(200,)",False,"This czar gave Russia a ""window to the west"" when he built a new capital on land taken from Sweden",Peter the Great,1,0
4222,2002-12-31,(Cheryl: We're at Westminster Abbey; stay tuned to find out more on Jeopardy!),Jeopardy,"(2, 1)",GAME SHOW FORMATS,2,"(200,)",False,"To start each round, 4 people from the audience each try to guess the correct cost of a featured prize",The Price is Right,1,0
4222,2002-12-31,(Cheryl: We're at Westminster Abbey; stay tuned to find out more on Jeopardy!),Jeopardy,"(3, 1)",THE 7 WONDERS,3,"(200,)",False,We sort of know what the Statue of Zeus looked like because it was reproduced on these of the realm,coins,0,3
4222,2002-12-31,(Cheryl: We're at Westminster Abbey; stay tuned to find out more on Jeopardy!),Jeopardy,"(4, 1)",WESTMINSTER ABBEY,12,"(200,)",False,"(Cheryl of the Clue Crew reporting from London)  Since 1066, every British monarch except 2 have come to Westminster Abbey for this ceremony",coronation,1,1
4222,2002-12-31,(Cheryl: We're at Westminster Abbey; stay tuned to find out more on Jeopardy!),Jeopardy,"(5, 1)",A BROAD-BASED MOVEMENT,26,"(200,)",False,The DAR,Daughters of the American Revolution,1,0
4222,2002-12-31,(Cheryl: We're at Westminster Abbey; stay tuned to find out more on Jeopardy!),Jeopardy,"(6, 1)",BODY LANGUAGE,21,"(200,)",False,"If these are ""burning"", someone is talking about you",ears,1,0
4222,2002-12-31,(Cheryl: We're at Westminster Abbey; stay tuned to find out more on Jeopardy!),Jeopardy,"(1, 2)","""P""-RUSSIA",17,"(400,)",False,In the 2000 presidential election he got 53% of the vote,Vladimir Putin,1,0
4222,2002-12-31,(Cheryl: We're at Westminster Abbey; stay tuned to find out more on Jeopardy!),Jeopardy,"(2, 2)",GAME SHOW FORMATS,8,"(400,)",False,"With the help of 3 lifelines, a contestant tries to answer 15 questions to win a cool 7 figures",Who Wants to Be a Millionaire,1,0
4222,2002-12-31,(Cheryl: We're at Westminster Abbey; stay tuned to find out more on Jeopardy!),Jeopardy,"(3, 2)",THE 7 WONDERS,4,"(400,)",False,They were located on terraces that possibly rose some 300 feet,The Hanging Gardens of Babylon,1,0
4222,2002-12-31,(Cheryl: We're at Westminster Abbey; stay tuned to find out more on Jeopardy!),Jeopardy,"(4, 2)",WESTMINSTER ABBEY,13,"(400,)",False,You should visit this astronomer royal's plot in the cloister more often than once every 76 years,Edmond Halley,1,0
