epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
trebekpilots_1,1983-09-18,"Trebek pilot 1.

Unaired.
""Personal computer"" set with pull-card game board.
Announced by Jay Stewart.",Jeopardy,"(1, 1)",WORLD GEOGRAPHY,16,"(25,)",False,"This country's counties include Kerry, Kilkenny, and Kildare",Ireland,0,0
trebekpilots_1,1983-09-18,"Trebek pilot 1.

Unaired.
""Personal computer"" set with pull-card game board.
Announced by Jay Stewart.",Jeopardy,"(2, 1)",BEST-SELLERS,7,"(25,)",False,This Jacqueline Susann novel is the all-time fictional best seller,Valley of the Dolls,0,0
trebekpilots_1,1983-09-18,"Trebek pilot 1.

Unaired.
""Personal computer"" set with pull-card game board.
Announced by Jay Stewart.",Jeopardy,"(3, 1)",SPORTS,2,"(25,)",False,He's won 5 of the 10 last U.S. Open tennis titles,Jimmy Connors,0,0
trebekpilots_1,1983-09-18,"Trebek pilot 1.

Unaired.
""Personal computer"" set with pull-card game board.
Announced by Jay Stewart.",Jeopardy,"(4, 1)",LISTS,1,"(25,)",False,Moses received this list on Mt. Sinai,the Ten Commandments,0,0
trebekpilots_1,1983-09-18,"Trebek pilot 1.

Unaired.
""Personal computer"" set with pull-card game board.
Announced by Jay Stewart.",Jeopardy,"(5, 1)",WILD WEST,8,"(25,)",False,This was William Bonney's best-known alias,Billy the Kid,0,0
trebekpilots_1,1983-09-18,"Trebek pilot 1.

Unaired.
""Personal computer"" set with pull-card game board.
Announced by Jay Stewart.",Jeopardy,"(6, 1)",HERBS AND SPICES,13,"(25,)",False,Reportedly good for lowering blood pressure and repelling vampires,garlic,0,0
trebekpilots_1,1983-09-18,"Trebek pilot 1.

Unaired.
""Personal computer"" set with pull-card game board.
Announced by Jay Stewart.",Jeopardy,"(1, 2)",WORLD GEOGRAPHY,22,"(50,)",False,Only nation to cover an entire continent,Australia,0,0
trebekpilots_1,1983-09-18,"Trebek pilot 1.

Unaired.
""Personal computer"" set with pull-card game board.
Announced by Jay Stewart.",Jeopardy,"(2, 2)",BEST-SELLERS,9,"(50,)",False,Hot horror author whose latest book is about haunted '58 Plymouth,Stephen King,0,0
trebekpilots_1,1983-09-18,"Trebek pilot 1.

Unaired.
""Personal computer"" set with pull-card game board.
Announced by Jay Stewart.",Jeopardy,"(3, 2)",SPORTS,3,"(50,)",False,"In golf, it's 2 under par for a hole",an eagle,0,0
trebekpilots_1,1983-09-18,"Trebek pilot 1.

Unaired.
""Personal computer"" set with pull-card game board.
Announced by Jay Stewart.",Jeopardy,"(4, 2)",LISTS,10,"(50,)",False,He lists the ten worst-dressed,Mr. Blackwell,0,0
