epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
4180,2002-11-01,"(Sarah: On Jeopardy! today we solve the mysteries of Mayan ruins, well, some of them; stay tuned!)",Jeopardy,"(1, 1)",THE 1960s,5,"(200,)",False,"In 1962 this country swapped 1,113 prisoners it captured in the Bay of Pigs invasion for $53 million in aid",Cuba,1,0
4180,2002-11-01,"(Sarah: On Jeopardy! today we solve the mysteries of Mayan ruins, well, some of them; stay tuned!)",Jeopardy,"(2, 1)","MUSICAL ""UP""s & ""DOWN""s",10,"(200,)",False,"She's the type of girl Billy Joel was ""in love with"" in a 1983 hit","""Uptown Girl""",1,0
4180,2002-11-01,"(Sarah: On Jeopardy! today we solve the mysteries of Mayan ruins, well, some of them; stay tuned!)",Jeopardy,"(3, 1)",TRICKY NUMBERS,16,"(200,)",False,Number of months with 28 days,12,1,1
4180,2002-11-01,"(Sarah: On Jeopardy! today we solve the mysteries of Mayan ruins, well, some of them; stay tuned!)",Jeopardy,"(4, 1)",GERMAN SCIENCE,21,"(200,)",False,Around 1850 Helmholtz clocked impulses moving along these body parts at about 90 feet per second,nerves,1,0
4180,2002-11-01,"(Sarah: On Jeopardy! today we solve the mysteries of Mayan ruins, well, some of them; stay tuned!)",Jeopardy,"(5, 1)",NOTORIOUS,26,"(200,)",False,Author Patricia Cornwell says without a doubt that this killer was 19th century English painter Walter Sickert,Jack the Ripper,1,0
4180,2002-11-01,"(Sarah: On Jeopardy! today we solve the mysteries of Mayan ruins, well, some of them; stay tuned!)",Jeopardy,"(6, 1)",IN THE DICTIONARY,1,"(200,)",False,"A temptress, or a device that produces a wailing warning sound",siren,1,0
4180,2002-11-01,"(Sarah: On Jeopardy! today we solve the mysteries of Mayan ruins, well, some of them; stay tuned!)",Jeopardy,"(1, 2)",THE 1960s,6,"(400,)",False,This now-popular term for a situation with no solution was also the title of a 1961 novel,catch-22,1,0
4180,2002-11-01,"(Sarah: On Jeopardy! today we solve the mysteries of Mayan ruins, well, some of them; stay tuned!)",Jeopardy,"(2, 2)","MUSICAL ""UP""s & ""DOWN""s",12,"(400,)",False,It's the classic heard here,"""Down On The Corner""",0,3
4180,2002-11-01,"(Sarah: On Jeopardy! today we solve the mysteries of Mayan ruins, well, some of them; stay tuned!)",Jeopardy,"(3, 2)",TRICKY NUMBERS,17,"(400,)",False,The highest single-digit number that reads the same upside down & right side up,8,1,1
4180,2002-11-01,"(Sarah: On Jeopardy! today we solve the mysteries of Mayan ruins, well, some of them; stay tuned!)",Jeopardy,"(4, 2)",GERMAN SCIENCE,22,"(400,)",False,University prof Michael Mastlin sold young Johannes Kepler on this Copernican theory,heliocentrism,1,0
4180,2002-11-01,"(Sarah: On Jeopardy! today we solve the mysteries of Mayan ruins, well, some of them; stay tuned!)",Jeopardy,"(5, 2)",NOTORIOUS,27,"(400,)",False,"In 1890 William Kemmler, who had killed his mistress, became the first convict to be executed this way",electrocution,1,0
4180,2002-11-01,"(Sarah: On Jeopardy! today we solve the mysteries of Mayan ruins, well, some of them; stay tuned!)",Jeopardy,"(6, 2)",IN THE DICTIONARY,2,"(400,)",False,These shadow portraits are named for a French finance minister known for his strict economic policies,silhouettes,1,0
4180,2002-11-01,"(Sarah: On Jeopardy! today we solve the mysteries of Mayan ruins, well, some of them; stay tuned!)",Jeopardy,"(1, 3)",THE 1960s,7,"(600,)",False,"In 1963 he started his ""Faith Partnerships"", asking 700 of his viewers to pledge $10 a month",Pat Robertson,1,0
4180,2002-11-01,"(Sarah: On Jeopardy! today we solve the mysteries of Mayan ruins, well, some of them; stay tuned!)",Jeopardy,"(2, 3)","MUSICAL ""UP""s & ""DOWN""s",13,"(600,)",False,"It begins, ""When this old world starts getting me down and people are just too much for me to face""","""Up on the Roof""",1,0
